lat,lng,DAS
15.5942883,-90.1494988,ALTA VERAPAZ
15.1255867,-90.3748354,BAJA VERAPAZ
14.720528,-90.9338557,CHIMALTENANGO
14.688429,-89.4085807,CHIQUIMULA
14.920059,-90.0888647,EL PROGRESO
14.117245,-90.9450417,ESCUINTLA
14.6349149,-90.5068824,GUATEMALA CENTRAL
14.7597102,-90.6305997,GUATEMALA NOR OCCIDENTE
14.5328512,-90.3568147,GUATEMALA NOR ORIENTE
14.4550652,-90.5614347,GUATEMALA SUR
15.695215,-91.5509187,HUEHUETENANGO
15.9907491,-90.9185177,IXCÁN
15.5621992,-91.1762497,IXIL
15.588478,-89.0064727,IZABAL
14.635,-89.989,JALAPA
14.292,-89.896,JUTIAPA
17.4176341,-90.0194637,PETÉN NORTE
16.8743571,-90.5371947,PETÉN SUR OCCIDENTE
16.3057891,-89.5429317,PETÉN SUR ORIENTE
14.831942,-91.6254837,QUETZALTENANGO
15.1662662,-91.0059617,QUICHÉ
14.396647,-91.8088817,RETALHULEU
14.557,-90.733,SACATEPÉQUEZ
15.036932,-91.9160617,SAN MARCOS
14.16792,-90.3430047,SANTA ROSA
14.719808,-91.2708607,SOLOLÁ
14.42413,-91.4007187,SUCHITEPÉQUEZ
14.912,-91.361,TOTONICAPÁN
14.972,-89.531,ZACAPA
15.783471,-90.230759,TODOS
16.896413,-88.5468127,NO REFIERE
